SKU,Description,Category,Price
F001,Prateek England,Fashion ,1140
F002,Lucy Phillepe,Fashion ,2596
F003,Badlands,Fashion ,1395
F004,Allen Dolly,Fashion ,2700
F005,Bucchi,Fashion ,8400
M001,Jhaomi,Mobiles,24300
M002,Samson,Mobiles,26250
M003,Mokia,Mobiles,12150
M004,Hotorola,Mobiles,44500
M005,2plus,Mobiles,31950
B001,Harry putar ,Books,2730
B002,4 states ,Books,847
B003,Shaktiman Returns,Books,200
B004,Goli's Travel,Books,720
B005,Story of Your Life,Books,1120
V001,Prince of Dholakpur,Video Games ,1144
V002,Nario,Video Games ,627
V003,Pacman,Video Games ,110
V004,LTA Wise City,Video Games ,2875
V005,HIFA 2023,Video Games ,2247
S001,Abibas Football ,Sports / Fitness,2850
S002,Rural Terrain Cycles,Sports / Fitness,12720
S003,Monex Badminton Rackets,Sports / Fitness,5700
S004,Yoga Mattress,Sports / Fitness,858
S005,Rocky Gym Set,Sports / Fitness,12600
ME001,Pyllum Trimmers,Medicines/Healthcare,1859
ME002,Softcare Electric Toothbrush,Medicines/Healthcare,1540
ME003,Leg Messager,Medicines/Healthcare,15390
ME004,NoFat Weighing Scale,Medicines/Healthcare,809
ME005,Screw Activity Watch,Medicines/Healthcare,1596
K001,SureIt Purifier,Kitchen ,5550
K002,Parrot Induction Stove,Kitchen ,1995
K003,Jalepenoware Tiffin,Kitchen ,320
K004,Yamaka Rex 5000W Mixer Grinder,Kitchen ,801
K005,Mr.Clean Dishwasher,Kitchen ,15064
H001,Blessing Atta 10kg pack,Household  ,428
H002,Amazing CornFlakes,Household  ,216
H003,Tata Yellow Label,Household  ,672
H004,Descafe Gold Blend coffee,Household  ,690
H005,Handmade Basmati Rice,Household  ,880
P001,Podigree Dog Food,Pet Supplies,1316
P002,Matty Dog Bed,Pet Supplies,8049
P003,Park Range Pet Shampoo,Pet Supplies,1378
P004,Old Mint Pet Shampoos,Pet Supplies,1404
P005,Reflective Dog RainCoat,Pet Supplies,3776
G001,Crafting Chandlar ,Gifting,1680
G002,Desi Kurti,Gifting,2088
G003,Family Cake and Card Combo,Gifting,1130
G004,Exact Flower Vase,Gifting,4200
G005,Friends Dinner Set,Gifting,5460
